"2023-04-26 at 14:29"
Time(H:M:S) CO2(ppm) CellTemp(c) CellPres(kPa)
14:29:47 0.40 51.76 101.33
14:29:48 0.01 51.76 101.33
14:29:49 0.62 51.76 101.33
14:29:50 0.55 51.76 101.33
14:29:51 0.11 51.73 101.33
14:29:52 0.23 51.73 101.33
14:29:53 0.54 51.76 101.33
14:29:54 0.32 51.73 101.33
14:29:55 0.33 51.73 101.33
14:29:56 0.64 51.76 101.33
14:29:57 0.26 51.76 101.33
14:29:58 0.04 51.76 101.33
14:29:59 0.70 51.76 101.33
14:30:00 0.41 51.76 101.33
14:30:01 0.34 51.76 101.33
14:30:02 0.16 51.76 101.33
14:30:03 0.41 51.76 101.33
14:30:04 0.04 51.76 101.33
14:30:05 0.69 51.76 101.33
14:30:06 0.13 51.76 101.33
14:30:07 0.46 51.73 101.33
14:30:08 0.51 51.73 101.33
14:30:09 0.08 51.76 101.33
14:30:10 0.15 51.73 101.33
14:30:11 0.05 51.73 101.33
14:30:12 0.59 51.73 101.33
14:30:13 0.45 51.73 101.33
14:30:14 0.25 51.76 101.33
14:30:15 0.23 51.76 101.33
14:30:16 0.17 51.73 101.33
14:30:17 0.53 51.73 101.33
14:30:18 0.34 51.73 101.33
14:30:19 -0.07 51.73 101.33
14:30:20 0.43 51.73 101.33
14:30:21 0.53 51.73 101.33
14:30:22 0.16 51.76 101.33
14:30:23 0.67 51.76 101.33
14:30:24 0.42 51.76 101.33
14:30:25 0.49 51.76 101.33
14:30:26 0.22 51.76 101.33
14:30:27 0.62 51.76 101.33
14:30:28 0.45 51.76 101.33
14:30:29 -0.05 51.76 101.33
14:30:30 0.76 51.76 101.33
14:30:31 0.29 51.73 101.33
14:30:32 0.54 51.73 101.33
14:30:33 0.17 51.76 101.33
14:30:34 0.45 51.73 101.33
14:30:35 0.41 51.73 101.33
14:30:36 0.35 51.76 101.33
14:30:37 0.36 51.73 101.33
14:30:38 -0.03 51.73 101.33
14:30:39 0.18 51.76 101.33
14:30:40 0.58 51.76 101.33
14:30:41 0.45 51.76 101.33
14:30:42 0.23 51.76 101.33
14:30:43 0.26 51.73 101.33
14:30:44 -0.22 51.73 101.33
14:30:45 0.81 51.76 101.33
14:30:46 0.43 51.73 101.33
14:30:47 0.31 51.73 101.33
14:30:48 0.43 51.73 101.33
14:30:49 0.33 51.73 101.33
14:30:50 -0.01 51.73 101.33
14:30:51 0.59 51.76 101.33
14:30:52 0.35 51.76 101.33
14:30:53 0.16 51.76 101.33
14:30:54 0.02 51.76 101.33
14:30:55 0.26 51.76 101.33
14:30:56 0.62 51.76 101.33
14:30:57 0.06 51.76 101.33
14:30:58 0.26 51.76 101.33
14:30:59 0.32 51.76 101.33
14:31:00 0.16 51.73 101.33
14:31:01 0.46 51.73 101.33
14:31:02 0.22 51.73 101.33
14:31:03 0.22 51.73 101.33
14:31:04 0.13 51.76 101.33
14:31:05 0.19 51.76 101.33
14:31:06 0.05 51.76 101.33
14:31:07 0.23 51.76 101.33
14:31:08 0.58 51.76 101.33
14:31:09 0.34 51.76 101.33
14:31:10 0.03 51.76 101.33
14:31:11 0.34 51.76 101.33
14:31:12 0.27 51.76 101.33
14:31:13 0.37 51.76 101.33
14:31:14 0.10 51.76 101.33
14:31:15 0.19 51.76 101.33
14:31:16 0.28 51.76 101.33
14:31:17 0.27 51.76 101.33
14:31:18 0.33 51.76 101.33
14:31:19 0.40 51.73 101.33
