date,baseline,sample_ID,plot,treatment,depth,start_end,time,height,std,std_conc,percent_sample,percent_400,cancel,note
4/27/2023,,std400,,,,,11:10 AM,40.8,1,400,,,,
4/27/2023,,std400,,,,,11:11 AM,40.9,1,400,,,,
4/27/2023,,std400,,,,,11:12 AM,35.5,1,400,,,,
4/27/2023,,std400,,,,,11:13 AM,40.9,1,400,,,,
4/27/2023,,std400,,,,,11:14 AM,40.4,1,400,,,,
4/27/2023,,std1000,,,,,11:16 AM,84.5,1,1000,,,,
4/27/2023,,std1000,,,,,11:17 AM,84.1,1,1000,,,,
4/27/2023,,std1000,,,,,11:18 AM,83.9,1,1000,,,,
4/27/2023,,std1000,,,,,11:19 AM,83.8,1,1000,,,,
4/27/2023,,std1000,,,,,11:20 AM,83.7,1,1000,,,,
4/27/2023,,std2500,,,,,11:22 AM,224.5,1,2500,,,,
4/27/2023,,std2500,,,,,11:23 AM,223.3,1,2500,,,,
4/27/2023,,std2500,,,,,11:24 AM,224.4,1,2500,,,,
4/27/2023,,std2500,,,,,11:25 AM,225.6,1,2500,,,,
4/27/2023,,std2500,,,,,11:26 AM,224.7,1,2500,,,,
4/27/2023,,std5000,,,,,11:29 AM,440.9,1,5000,,,,
4/27/2023,,std5000,,,,,11:30 AM,440.6,1,5000,,,,
4/27/2023,,std5000,,,,,11:31 AM,441.5,1,5000,,,,
4/27/2023,,std5000,,,,,11:33 AM,441.3,1,5000,,,,
4/27/2023,,std5000,,,,,11:34 AM,442,1,5000,,,,
4/27/2023,,,1,A,20,start,11:37 AM,44.3,,,,,,
4/27/2023,,,1,A,30,start,11:38 AM,43.9,,,,,,
4/27/2023,,,1,B,20,start,11:39 AM,44.5,,,,,,
4/27/2023,,,1,B,30,start,11:40 AM,44.3,,,,,,
4/27/2023,,,3,A,20,start,11:41 AM,43.3,,,,,,
4/27/2023,,,3,A,30,start,11:41 AM,42.8,,,,,,
4/27/2023,,,3,B,20,start,11:42 AM,42.8,,,,,,
4/27/2023,,,3,B,30,start,11:43 AM,42.8,,,,,,
4/27/2023,,,3,C,20,start,11:44 AM,44.1,,,,,,
4/27/2023,,,3,C,30,start,11:45 AM,44.4,,,,,,
4/27/2023,,,4,A,20,start,11:46 AM,44.7,,,,,,
4/27/2023,,,4,A,30,start,11:47 AM,45.5,,,,,,
4/27/2023,,,4,B,20,start,11:47 AM,45.4,,,,,,
4/27/2023,,,4,B,30,start,11:48 AM,45.1,,,,,,
4/27/2023,,,4,C,20,start,11:49 AM,42.3,,,,,,
4/27/2023,,,4,C,30,start,11:49 AM,44,,,,,,
4/27/2023,,std1000,,,,,11:52 AM,84.2,1,1000,,,,
4/27/2023,,std1000,,,,,11:52 AM,84.5,1,1000,,,,
4/27/2023,,,6,A,20,start,11:54 AM,43.2,,,,,,
4/27/2023,,,6,A,30,start,11:54 AM,45.3,,,,,,
4/27/2023,,,6,B,20,start,11:55 AM,43.1,,,,,,
4/27/2023,,,6,B,30,start,11:56 AM,42.7,,,,,,
4/27/2023,,,6,C,20,start,11:56 AM,43.2,,,,,,
4/27/2023,,,6,C,30,start,11:57 AM,42.5,,,,,,
4/27/2023,,,7,A,20,start,11:58 AM,42.6,,,,,,
4/27/2023,,,7,A,30,start,11:59 AM,43.1,,,,,,
