enzyme,plate_number,1,2,3,4,5,6,7,8,9,10,11,12
bgluc,1,1A_20-sub,1A_20-mub,1A_20-buf,1A_30-sub,1A_30-mub,1A_30-buf,1B_20-sub,1B_20-mub,1B_20-buf,1B_30-sub,1B_30-mub,1B_30-buf
bgluc,2,3A_20-sub,3A_20-mub,3A_20-buf,3A_30-sub,3A_30-mub,3A_30-buf,3B_20-sub,3B_20-mub,3B_20-buf,3B_30-sub,3B_30-mub,3B_30-buf
bgluc,3,3C_20-sub,3C_20-mub,3C_20-buf,3C_30-sub,3C_30-mub,3C_30-buf,4A_20-sub,4A_20-mub,4A_20-buf,4A_30-sub,4A_30-mub,4A_30-buf
bgluc,4,4B_20-sub,4B_20-mub,4B_20-buf,4B_30-sub,4B_30-mub,4B_30-buf,4C_20-sub,4C_20-mub,4C_20-buf,4C_30-sub,4C_30-mub,4C_30-buf
bgluc,5,6A_20-sub,6A_20-mub,6A_20-buf,6A_30-sub,6A_30-mub,6A_30-buf,6B_20-sub,6B_20-mub,6B_20-buf,6B_30-sub,6B_30-mub,6B_30-buf
bgluc,6,6C_20-sub,6C_20-mub,6C_20-buf,6C_30-sub,6C_30-mub,6C_30-buf,7A_20-sub,7A_20-mub,7A_20-buf,7A_30-sub,7A_30-mub,7A_30-buf
bgluc,7,7B_20-sub,7B_20-mub,7B_20-buf,7B_30-sub,7B_30-mub,7B_30-buf,7C_20-sub,7C_20-mub,7C_20-buf,7C_30-sub,7C_30-mub,7C_30-buf
bgluc,8,8A_20-sub,8A_20-mub,8A_20-buf,8A_30-sub,8A_30-mub,8A_30-buf,8B_20-sub,8B_20-mub,8B_20-buf,8B_30-sub,8B_30-mub,8B_30-buf
bgluc,9,8C_20-sub,8C_20-mub,8C_20-buf,8C_30-sub,8C_30-mub,8C_30-buf,n,n,n,n,n,n
NAG,1,1A_20-sub,1A_20-mub,1A_20-buf,1A_30-sub,1A_30-mub,1A_30-buf,1B_20-sub,1B_20-mub,1B_20-buf,1B_30-sub,1B_30-mub,1B_30-buf
NAG,2,3A_20-sub,3A_20-mub,3A_20-buf,3A_30-sub,3A_30-mub,3A_30-buf,3B_20-sub,3B_20-mub,3B_20-buf,3B_30-sub,3B_30-mub,3B_30-buf
NAG,3,3C_20-sub,3C_20-mub,3C_20-buf,3C_30-sub,3C_30-mub,3C_30-buf,4A_20-sub,4A_20-mub,4A_20-buf,4A_30-sub,4A_30-mub,4A_30-buf
NAG,4,4B_20-sub,4B_20-mub,4B_20-buf,4B_30-sub,4B_30-mub,4B_30-buf,4C_20-sub,4C_20-mub,4C_20-buf,4C_30-sub,4C_30-mub,4C_30-buf
NAG,5,6A_20-sub,6A_20-mub,6A_20-buf,6A_30-sub,6A_30-mub,6A_30-buf,6B_20-sub,6B_20-mub,6B_20-buf,6B_30-sub,6B_30-mub,6B_30-buf
NAG,6,6C_20-sub,6C_20-mub,6C_20-buf,6C_30-sub,6C_30-mub,6C_30-buf,7A_20-sub,7A_20-mub,7A_20-buf,7A_30-sub,7A_30-mub,7A_30-buf
NAG,7,7B_20-sub,7B_20-mub,7B_20-buf,7B_30-sub,7B_30-mub,7B_30-buf,7C_20-sub,7C_20-mub,7C_20-buf,7C_30-sub,7C_30-mub,7C_30-buf
NAG,8,8A_20-sub,8A_20-mub,8A_20-buf,8A_30-sub,8A_30-mub,8A_30-buf,8B_20-sub,8B_20-mub,8B_20-buf,8B_30-sub,8B_30-mub,8B_30-buf
NAG,9,8C_20-sub,8C_20-mub,8C_20-buf,8C_30-sub,8C_30-mub,8C_30-buf,n,n,n,n,n,n
