date,block,treatment,quad,"X,Y",Height,cover1,cover1count,cover2,cover2count,cover3,cover3count,cover4,cover4count,cover5,cover5count,cover6,cover6count,soil_cover,observers
4/12/2023,1,A,1,"5,5",10,pler,2,,,,,,,,,,,s,jw/mr
4/12/2023,1,A,1,"5,10",15,stpu,1,pler,1,,,,,,,,,s,jw/mr
4/12/2023,1,A,1,"5,15",7,pler,1,stpu,3,,,,,,,,,l,jw/mr
4/12/2023,1,A,1,"5,20",10,stpu,2,pler,1,,,,,,,,,s,jw/mr
4/12/2023,1,A,1,"5,25",10,pler,5,,,,,,,,,,,s,jw/mr
4/12/2023,1,A,1,"10,5",9,clpu,1,pler,2,,,,,,,,,s,jw/mr
4/12/2023,1,A,1,"10,10",5,avba,1,stpu,1,pler,1,,,,,,,l,jw/mr
4/12/2023,1,A,1,"10,15",8,stpu,1,,,,,,,,,,,l,jw/mr
4/12/2023,1,A,1,"10,20",24,avba,1,stpu,1,,,,,,,,,l,jw/mr
4/12/2023,1,A,1,"10,25",15,stpu,2,pler,2,,,,,,,,,l,jw/mr
4/12/2023,1,A,1,"15,5",14,stpu,2,,,,,,,,,,,s,jw/mr
4/12/2023,1,A,1,"15,10",20,stpu,1,avba,2,,,,,,,,,s,jw/mr
4/12/2023,1,A,1,"15,15",14,stpu,3,erci,1,,,,,,,,,l,jw/mr
4/12/2023,1,A,1,"15,20",12,stpu,2,,,,,,,,,,,l,jw/mr
4/12/2023,1,A,1,"15,25",14,avba,1,erci,1,femy,1,,,,,,,l,jw/mr
4/12/2023,1,A,1,"20,5",14,stpu,2,pler,2,,,,,,,,,s,jw/mr
4/12/2023,1,A,1,"20,10",7,stpu,1,,,,,,,,,,,s,jw/mr
4/12/2023,1,A,1,"20,15",39,avba,1,stpu,2,,,,,,,,,l,jw/mr
4/12/2023,1,A,1,"20,20",14,stpu,2,avba,1,,,,,,,,,s,jw/mr
4/12/2023,1,A,1,"20,25",19,stpu,2,pler,1,,,,,,,,,l,jw/mr
4/12/2023,1,A,1,"25,5",17,avba,2,stpu,1,sibe,1,pler,1,brdi,1,clpu,1,s,jw/mr
4/12/2023,1,A,1,"25,10",3,pler,1,,,,,,,,,,,s,jw/mr
4/12/2023,1,A,1,"25,15",8,stpu,3,erci,2,,,,,,,,,s,jw/mr
4/12/2023,1,A,1,"25,20",9,unk1,1,stpu,1,,,,,,,,,l,jw/mr
4/12/2023,1,A,1,"25,25",12,stpu,1,pler,1,avba,1,,,,,,,l,jw/mr
4/12/2023,1,A,1,Missed:,,dandi,,,,,,,,,,,,,jw/mr
4/12/2023,1,A,2,"5,5",9,dandi,1,pler,1,,,,,,,,,s,jw/mr
4/12/2023,1,A,2,"5,10",10,pler,2,,,,,,,,,,,s,jw/mr
4/12/2023,1,A,2,"5,15",12,dandi,1,pler,1,,,,,,,,,l,jw/mr
4/12/2023,1,A,2,"5,20",8,stpu,1,unk1,1,pler,1,,,,,,,s,jw/mr
4/12/2023,1,A,2,"5,25",25,stpu,1,,,,,,,,,,,l,jw/mr
4/12/2023,1,A,2,"10,5",19,dandi,2,avba,1,trifo1,1,,,,,,,s,jw/mr
4/12/2023,1,A,2,"10,10",29,avba,2,stpu,1,,,,,,,,,l,jw/mr
4/12/2023,1,A,2,"10,15",24,stpu,3,dandi,2,,,,,,,,,s,jw/mr
4/12/2023,1,A,2,"10,20",44,stpu,3,,,,,,,,,,,s,jw/mr
4/12/2023,1,A,2,"10,25",46,avba,1,brma,1,stpu,1,pler,1,unk1,1,,,l,jw/mr
4/12/2023,1,A,2,"15,5",40,avba,1,stpu,1,,,,,,,,,l,jw/mr
4/12/2023,1,A,2,"15,10",39,avba,1,dandi,1,,,,,,,,,l,jw/mr
4/12/2023,1,A,2,"15,15",41,avba,2,stpu,2,,,,,,,,,l,jw/mr
4/12/2023,1,A,2,"15,20",35,stpu,3,brma,1,,,,,,,,,l,jw/mr
4/12/2023,1,A,2,"15,25",27,stpu,1,,,,,,,,,,,l,jw/mr
4/12/2023,1,A,2,"20,5",20,brdi,1,stpu,2,,,,,,,,,stpu,jw/mr
4/12/2023,1,A,2,"20,10",31,stpu,2,avba,1,,,,,,,,,stpu,jw/mr
4/12/2023,1,A,2,"20,15",34,avba,1,stpu,5,,,,,,,,,stpu,jw/mr
4/12/2023,1,A,2,"20,20",26,stpu,2,,,,,,,,,,,l,jw/mr
4/12/2023,1,A,2,"20,25",20,stpu,2,unk1,1,erci,1,,,,,,,l,jw/mr
4/12/2023,1,A,2,"25,5",14,stpu,2,,,,,,,,,,,stpu,jw/mr
4/12/2023,1,A,2,"25,10",14,stpu,2,,,,,,,,,,,stpu,jw/mr
