date,block,treatment,quad,"X,Y",Height,cover1,cover1count,cover2,cover2count,cover3,cover3count,cover4,cover4count,cover5,cover5count,cover6,cover6count,soil_cover,observers
4/21/2023,6,B,3,"5,5",25,brdi,1,erci,1,,,,,,,,,l,jw/gc
4/22/2023,6,B,3,"5,10",9,brdi,1,erci,1,,,,,,,,,l,jw/gc
4/23/2023,6,B,3,"5,15",36,avfa,3,brdi,1,,,,,,,,,l,jw/gc
4/24/2023,6,B,3,"5,20",21,brdi,1,clpu,1,,,,,,,,,l,jw/gc
4/25/2023,6,B,3,"5,25",30,avfa,2,,,,,,,,,,,l,jw/gc
4/26/2023,6,B,3,"10,5",13,avfa,1,erci,1,,,,,,,,,l,jw/gc
4/27/2023,6,B,3,"10,10",7,avfa,1,,,,,,,,,,,l,jw/gc
4/28/2023,6,B,3,"10,15",30,brdi,1,,,,,,,,,,,l,jw/gc
4/29/2023,6,B,3,"10,20",30,avfa,1,erci,1,,,,,,,,,l,jw/gc
4/30/2023,6,B,3,"10,25",21,avfa,2,,,,,,,,,,,l,jw/gc
5/1/2023,6,B,3,"15,5",24,avfa,3,,,,,,,,,,,l,jw/gc
5/2/2023,6,B,3,"15,10",40,avfa,3,,,,,,,,,,,l,jw/gc
5/3/2023,6,B,3,"15,15",0,noplant,,,,,,,,,,,,l,jw/gc
5/4/2023,6,B,3,"15,20",0,noplant,,,,,,,,,,,,l,jw/gc
5/5/2023,6,B,3,"15,25",14,avfa,2,,,,,,,,,,,l,jw/gc
5/6/2023,6,B,3,"20,5",13,avfa,1,,,,,,,,,,,l,jw/gc
5/7/2023,6,B,3,"20,10",34,avfa,3,,,,,,,,,,,l,jw/gc
5/8/2023,6,B,3,"20,15",30,avfa,2,,,,,,,,,,,l,jw/gc
5/9/2023,6,B,3,"20,20",30,clpu,1,,,,,,,,,,,l,jw/gc
5/10/2023,6,B,3,"20,25",16,brdi,2,erci,1,,,,,,,,,s,jw/gc
5/11/2023,6,B,3,"25,5",33,avfa,2,,,,,,,,,,,l,jw/gc
5/12/2023,6,B,3,"25,10",9,avfa,1,,,,,,,,,,,l,jw/gc
5/13/2023,6,B,3,"25,15",24,avfa,2,,,,,,,,,,,l,jw/gc
5/14/2023,6,B,3,"25,20",35,brdi,1,clpu,1,avfa,1,,,,,,,l,jw/gc
5/15/2023,6,B,3,"25,25",30,avfa,4,,,,,,,,,,,l,jw/gc
5/16/2023,6,B,3,Missed:,,lase,,,,,,,,,,,,,jw/gc
5/17/2023,6,B,2,"5,5",24,avfa,2,brdi,1,,,,,,,,,l,jw/gc
5/18/2023,6,B,2,"5,10",53,avfa,2,brdi,1,,,,,,,,,l,jw/gc
5/19/2023,6,B,2,"5,15",45,brdi,1,avfa,1,erci,1,,,,,,,l,jw/gc
5/20/2023,6,B,2,"5,20",13,avfa,1,brdi,1,,,,,,,,,l,jw/gc
5/21/2023,6,B,2,"5,25",24,avfa,1,brdi,1,,,,,,,,,l,jw/gc
5/22/2023,6,B,2,"10,5",15,clpu,1,avfa,1,,,,,,,,,l,jw/gc
5/23/2023,6,B,2,"10,10",47,avfa,3,,,,,,,,,,,l,jw/gc
5/24/2023,6,B,2,"10,15",45,avfa,3,brdi,1,,,,,,,,,l,jw/gc
5/25/2023,6,B,2,"10,20",31,avfa,1,,,,,,,,,,,l,jw/gc
5/26/2023,6,B,2,"10,25",21,avfa,1,erci,1,,,,,,,,,l,jw/gc
5/27/2023,6,B,2,"15,5",33,avfa,2,,,,,,,,,,,l,jw/gc
5/28/2023,6,B,2,"15,10",29,avfa,1,,,,,,,,,,,l,jw/gc
5/29/2023,6,B,2,"15,15",30,avfa,2,,,,,,,,,,,l,jw/gc
5/30/2023,6,B,2,"15,20",24,avfa,1,,,,,,,,,,,l,jw/gc
5/31/2023,6,B,2,"15,25",50,avfa,3,,,,,,,,,,,l,jw/gc
6/1/2023,6,B,2,"20,5",30,brdi,1,brho,1,,,,,,,,,l,jw/gc
6/2/2023,6,B,2,"20,10",15,brdi,1,,,,,,,,,,,l,jw/gc
6/3/2023,6,B,2,"20,15",35,brdi,2,avfa,1,,,,,,,,,l,jw/gc
6/4/2023,6,B,2,"20,20",0,noplant,,,,,,,,,,,,l,jw/gc
6/5/2023,6,B,2,"20,25",43,avfa,2,brho,1,,,,,,,,,l,jw/gc
6/6/2023,6,B,2,"25,5",27,brdi,1,,,,,,,,,,,l,jw/gc
6/7/2023,6,B,2,"25,10",45,avfa,3,brdi,1,,,,,,,,,l,jw/gc
6/8/2023,6,B,2,"25,15",45,avfa,5,,,,,,,,,,,l,jw/gc
6/9/2023,6,B,2,"25,20",44,avfa,2,,,,,,,,,,,l,jw/gc
6/10/2023,6,B,2,"25,25",31,brdi,2,avfa,1,erci,1,,,,,,,l,jw/gc
6/11/2023,6,B,2,Missed:,,,,,,,,,,,,,,,jw/gc
6/12/2023,6,B,1,"5,5",18,brdi,1,brho,1,,,,,,,,,l,jw/gc
6/13/2023,6,B,1,"5,10",39,avfa,1,,,,,,,,,,,l,jw/gc
6/14/2023,6,B,1,"5,15",59,avfa,3,,,,,,,,,,,l,jw/gc
6/15/2023,6,B,1,"5,20",57,avfa,2,,,,,,,,,,,s,jw/gc
6/16/2023,6,B,1,"5,25",5,erci,1,,,,,,,,,,,s,jw/gc
6/17/2023,6,B,1,"10,5",0,noplant,0,,,,,,,,,,,l,jw/gc
6/18/2023,6,B,1,"10,10",22,avfa,1,,,,,,,,,,,l,jw/gc
6/19/2023,6,B,1,"10,15",27,avfa,2,,,,,,,,,,,l,jw/gc
6/20/2023,6,B,1,"10,20",32,avfa,2,erci,1,,,,,,,,,l,jw/gc
6/21/2023,6,B,1,"10,25",52,avfa,2,clpu,1,erci,1,,,,,,,l,jw/gc
6/22/2023,6,B,1,"15,5",0,noplant,0,,,,,,,,,,,l,jw/gc
6/23/2023,6,B,1,"15,10",5,brho,1,,,,,,,,,,,l,jw/gc
6/24/2023,6,B,1,"15,15",28,avfa,2,,,,,,,,,,,l,jw/gc
