date,block,treatment,quad,"X,Y",Height,cover1,cover1count,cover2,cover2count,cover3,cover3count,cover4,cover4count,cover5,cover5count,cover6,cover6count,soil_cover,observers
4/21/2023,6,C,1,"5,5",24,avfa,3,,,,,,,,,,,l,rr/mr
4/22/2023,6,C,1,"5,10",24,avfa,1,clpu,1,erci,1,,,,,,,l,rr/mr
4/23/2023,6,C,1,"5,15",32,avfa,2,brho,1,erci,1,,,,,,,l,rr/mr
4/24/2023,6,C,1,"5,20",43,avfa,1,brdi,1,,,,,,,,,l,rr/mr
4/25/2023,6,C,1,"5,25",43,avfa,2,clpu,1,brdi,1,,,,,,,l,rr/mr
4/26/2023,6,C,1,"10,5",14,brho,1,,,,,,,,,,,l,rr/mr
4/27/2023,6,C,1,"10,10",17,brdi,1,erci,2,,,,,,,,,l,rr/mr
4/28/2023,6,C,1,"10,15",31,avfa,1,brho,1,clpu,1,,,,,,,l,rr/mr
4/29/2023,6,C,1,"10,20",35,avfa,1,,,,,,,,,,,l,rr/mr
4/30/2023,6,C,1,"10,25",44,avfa,3,clpu,1,erci,1,,,,,,,l,rr/mr
5/1/2023,6,C,1,"15,5",23,brho,2,thcu,1,,,,,,,,,s,rr/mr
5/2/2023,6,C,1,"15,10",34,brho,1,erci,1,,,,,,,,,l,rr/mr
5/3/2023,6,C,1,"15,15",33,avfa,1,brho,1,,,,,,,,,l,rr/mr
5/4/2023,6,C,1,"15,20",34,avfa,2,erci,1,,,,,,,,,l,rr/mr
5/5/2023,6,C,1,"15,25",53,avfa,6,,,,,,,,,,,l,rr/mr
5/6/2023,6,C,1,"20,5",35,avfa,1,,,,,,,,,,,s,rr/mr
5/7/2023,6,C,1,"20,10",33,avfa,1,clpu,1,,,,,,,,,s,rr/mr
5/8/2023,6,C,1,"20,15",31,brdi,1,erci,1,,,,,,,,,l,rr/mr
5/9/2023,6,C,1,"20,20",52,avfa,4,,,,,,,,,,,l,rr/mr
5/10/2023,6,C,1,"20,25",21,avfa,2,,,,,,,,,,,l,rr/mr
5/11/2023,6,C,1,"25,5",40,avfa,2,,,,,,,,,,,s,rr/mr
5/12/2023,6,C,1,"25,10",21,avfa,2,,,,,,,,,,,l,rr/mr
5/13/2023,6,C,1,"25,15",12,clpu,1,,,,,,,,,,,l,rr/mr
5/14/2023,6,C,1,"25,20",19,avfa,2,erci,1,,,,,,,,,l,rr/mr
5/15/2023,6,C,1,"25,25",44,avfa,2,erci,1,,,,,,,,,l,rr/mr
5/16/2023,6,C,1,Missed:,,lase,,,,,,,,,,,,,rr/mr
5/17/2023,6,C,2,"5,5",41,avfa,2,clpu,1,,,,,,,,,l,rr/mr
5/18/2023,6,C,2,"5,10",40,avfa,5,clpu,1,,,,,,,,,l,rr/mr
5/19/2023,6,C,2,"5,15",10,avfa,1,,,,,,,,,,,l,rr/mr
5/20/2023,6,C,2,"5,20",43,avfa,1,,,,,,,,,,,l,rr/mr
5/21/2023,6,C,2,"5,25",43,avfa,2,clpu,1,,,,,,,,,l,rr/mr
5/22/2023,6,C,2,"10,5",54,avfa,3,,,,,,,,,,,l,rr/mr
5/23/2023,6,C,2,"10,10",50,avfa,2,clpu,1,,,,,,,,,l,rr/mr
5/24/2023,6,C,2,"10,15",35,avfa,2,,,,,,,,,,,l,rr/mr
5/25/2023,6,C,2,"10,20",24,avfa,3,,,,,,,,,,,l,rr/mr
5/26/2023,6,C,2,"10,25",11,clpu,1,,,,,,,,,,,l,rr/mr
5/27/2023,6,C,2,"15,5",37,avfa,2,,,,,,,,,,,l,rr/mr
5/28/2023,6,C,2,"15,10",49,avfa,4,clpu,2,,,,,,,,,l,rr/mr
5/29/2023,6,C,2,"15,15",43,avfa,3,,,,,,,,,,,l,rr/mr
5/30/2023,6,C,2,"15,20",34,avfa,2,clpu,1,,,,,,,,,l,rr/mr
5/31/2023,6,C,2,"15,25",21,clpu,1,,,,,,,,,,,l,rr/mr
6/1/2023,6,C,2,"20,5",64,avfa,5,,,,,,,,,,,l,rr/mr
6/2/2023,6,C,2,"20,10",15,lase,1,,,,,,,,,,,l,rr/mr
6/3/2023,6,C,2,"20,15",33,avfa,2,lase,1,,,,,,,,,l,rr/mr
6/4/2023,6,C,2,"20,20",40,avfa,2,clpu,2,,,,,,,,,l,rr/mr
6/5/2023,6,C,2,"20,25",25,avfa,1,clpu,1,,,,,,,,,l,rr/mr
6/6/2023,6,C,2,"25,5",56,avfa,5,brho,1,,,,,,,,,l,rr/mr
6/7/2023,6,C,2,"25,10",40,avfa,1,clpu,3,,,,,,,,,l,rr/mr
6/8/2023,6,C,2,"25,15",57,avfa,2,erci,1,,,,,,,,,l,rr/mr
6/9/2023,6,C,2,"25,20",54,avfa,2,,,,,,,,,,,l,rr/mr
6/10/2023,6,C,2,"25,25",24,avfa,2,clpu,1,,,,,,,,,l,rr/mr
6/11/2023,6,C,2,Missed:,,erci,,lase,,,,,,,,,,,rr/mr
6/12/2023,6,C,3,"5,5",21,clpu,1,,,,,,,,,,,l,rr/mr
6/13/2023,6,C,3,"5,10",11,erci,2,,,,,,,,,,,l,rr/mr
6/14/2023,6,C,3,"5,15",17,avfa,2,erci,1,,,,,,,,,l,rr/mr
6/15/2023,6,C,3,"5,20",30,brdi,1,avfa,3,,,,,,,,,l,rr/mr
6/16/2023,6,C,3,"5,25",24,avfa,2,brdi,1,,,,,,,,,l,rr/mr
6/17/2023,6,C,3,"10,5",30,clpu,2,avfa,1,,,,,,,,,l,rr/mr
6/18/2023,6,C,3,"10,10",25,avfa,4,erci,1,,,,,,,,,s,rr/mr
6/19/2023,6,C,3,"10,15",30,avfa,2,erci,3,,,,,,,,,l,rr/mr
6/20/2023,6,C,3,"10,20",33,brdi,2,avfa,1,,,,,,,,,l,rr/mr
6/21/2023,6,C,3,"10,25",25,brho,1,erci,1,,,,,,,,,l,rr/mr
6/22/2023,6,C,3,"15,5",15,avfa,1,,,,,,,,,,,s,rr/mr
6/23/2023,6,C,3,"15,10",30,avfa,1,,,,,,,,,,,s,rr/mr
6/24/2023,6,C,3,"15,15",7,erci,1,,,,,,,,,,,l,rr/mr
6/25/2023,6,C,3,"15,20",11,brho,1,erci,3,,,,,,,,,s,rr/mr
6/26/2023,6,C,3,"15,25",61,avfa,5,brho,2,brdi,3,clpu,2,erci,2,,,l,rr/mr
6/27/2023,6,C,3,"20,5",45,avfa,4,brdi,1,,,,,,,,,s,rr/mr
6/28/2023,6,C,3,"20,10",32,brdi,2,brho,1,erci,1,,,,,,,l,rr/mr
6/29/2023,6,C,3,"20,15",37,avfa,1,brho,1,erci,1,,,,,,,l,rr/mr
6/30/2023,6,C,3,"20,20",10,erci,1,,,,,,,,,,,l,rr/mr
7/1/2023,6,C,3,"20,25",31,brho,1,avfa,1,erci,2,,,,,,,l,rr/mr
7/2/2023,6,C,3,"25,5",0,noplant,,,,,,,,,,,,l,rr/mr
7/3/2023,6,C,3,"25,10",35,brdi,2,avfa,1,,,,,,,,,l,rr/mr
7/4/2023,6,C,3,"25,15",30,brho,2,avfa,2,,,,,,,,,l,rr/mr
7/5/2023,6,C,3,"25,20",31,brho,1,clpu,2,,,,,,,,,l,rr/mr
7/6/2023,6,C,3,"25,25",22,brho,1,clpu,1,avfa,1,erci,2,,,,,l,rr/mr
7/7/2023,6,C,3,Missed:,,lase,,,,,,,,,,,,,rr/mr
7/8/2023,6,C,ss,"5,5",32,avfa,2,clpu,1,erci,1,,,,,,,s,rr/mr
7/9/2023,6,C,ss,"5,10",16,avfa,1,,,,,,,,,,,l,rr/mr
7/10/2023,6,C,ss,"5,15",16,brdi,2,avfa,1,,,,,,,,,l,rr/mr
7/11/2023,6,C,ss,"5,20",0,noplant,,,,,,,,,,,,l,rr/mr
7/12/2023,6,C,ss,"5,25",50,avfa,2,brdi,1,,,,,,,,,l,rr/mr
7/13/2023,6,C,ss,"10,5",41,avfa,4,brdi,1,brho,2,,,,,,,l,rr/mr
7/14/2023,6,C,ss,"10,10",35,brho,4,avfa,3,brho,3,,,,,,,l,rr/mr
7/15/2023,6,C,ss,"10,15",38,avfa,4,brdi,1,,,,,,,,,l,rr/mr
7/16/2023,6,C,ss,"10,20",26,avfa,1,,,,,,,,,,,l,rr/mr
7/17/2023,6,C,ss,"10,25",62,avfa,3,brdi,4,erci,1,,,,,,,l,rr/mr
7/18/2023,6,C,ss,"15,5",7,erci,2,,,,,,,,,,,l,rr/mr
7/19/2023,6,C,ss,"15,10",31,brdi,3,avfa,2,,,,,,,,,l,rr/mr
7/20/2023,6,C,ss,"15,15",53,avfa,3,brdi,3,,,,,,,,,l,rr/mr
7/21/2023,6,C,ss,"15,20",35,brdi,2,avfa,1,erci,1,,,,,,,l,rr/mr
7/22/2023,6,C,ss,"15,25",0,noplant,,,,,,,,,,,,l,rr/mr
7/23/2023,6,C,ss,"20,5",39,avfa,3,clpu,1,brho,1,,,,,,,l,rr/mr
7/24/2023,6,C,ss,"20,10",36,avfa,1,,,,,,,,,,,l,rr/mr
7/25/2023,6,C,ss,"20,15",64,avfa,4,,,,,,,,,,,l,rr/mr
7/26/2023,6,C,ss,"20,20",17,brho,2,clpu,2,erci,1,,,,,,,l,rr/mr
7/27/2023,6,C,ss,"20,25",32,brdi,1,avfa,1,,,,,,,,,l,rr/mr
7/28/2023,6,C,ss,"25,5",33,avfa,2,,,,,,,,,,,s,rr/mr
7/29/2023,6,C,ss,"25,10",56,avfa,2,brdi,1,clpu,1,,,,,,,l,rr/mr
7/30/2023,6,C,ss,"25,15",36,avfa,2,clpu,1,,,,,,,,,l,rr/mr
7/31/2023,6,C,ss,"25,20",35,avfa,1,erci,1,,,,,,,,,l,rr/mr
8/1/2023,6,C,ss,"25,25",34,avfa,3,,,,,,,,,,,l,rr/mr
8/2/2023,6,C,ss,Missed:,,lase,,unk,,,,,,,,,,l,rr/mr
