,sample,file,date,time,type,mass,,,,,nitrogen,carbon
0,bypass,File001,6/21/2023,11:02,By-Pass,,,,,,0,0
0,blank,File002,6/21/2023,11:07,Blank,,,,,,0,0
0,low,File003,6/21/2023,11:12,STD,0.296,6.25,0,,,10.36,71.09
0,medium,File004,6/21/2023,11:17,STD,0.588,6.25,0,,,10.36,71.09
0,high,File005,6/21/2023,11:22,STD,1.39,6.25,0,,,10.36,71.09
0,check1,File006,6/21/2023,11:27,UNK,0.357,6.25,0,,,10.403,71.116
0,check2,File007,6/21/2023,11:33,UNK,0.589,6.25,0,,,10.484,72.062
0,check3,File008,6/21/2023,11:38,UNK,1.189,6.25,0,,,10.321,71.367
0,8C_20-30_roots,File009,6/21/2023,11:43,UNK,5.219,6.25,0,,,0.697,42.584
0,6A_0-20_roots,File010,6/21/2023,11:48,UNK,5.198,6.25,0,,,0.914,33.406
0,8C_0-20_roots,File011,6/21/2023,11:53,UNK,5.212,6.25,0,,,0.963,35.546
0,1A_20-30_roots,File012,6/21/2023,11:58,UNK,5.266,6.25,0,,,0.616,41.111
0,4C_0-20_roots,File013,6/21/2023,12:03,UNK,5.08,6.25,0,,,0.815,37.202
0,6C_0-20_roots,File014,6/21/2023,12:08,UNK,5.075,6.25,0,,,0.864,32.625
0,4B_0-20_roots,File015,6/21/2023,12:13,UNK,5.062,6.25,0,,,0.856,41.658
0,6B_0-20_roots,File016,6/21/2023,12:19,UNK,5.145,6.25,0,,,0.546,38.024
0,3B_0-20_roots,File017,6/21/2023,12:24,UNK,5.035,6.25,0,,,0.801,37.126
0,1B_20-30_roots,File018,6/21/2023,12:29,UNK,5.006,6.25,0,,,0.567,42.904
0,check4,File019,6/21/2023,12:34,UNK,0.669,6.25,0,,,10.312,72.575
0,3C_20-30_roots,File020,6/21/2023,12:39,UNK,0.018,6.25,0,,,18.844,93.89
0,7B_20-30_roots,File021,6/21/2023,12:44,UNK,0.24,6.25,0,,,1.475,39.146
0,7C_20-30_roots,File022,6/21/2023,12:49,UNK,1.318,6.25,0,,,0.717,33.985
0,8A_0-20_roots,File023,6/21/2023,12:54,UNK,4.992,6.25,0,,,0.809,37.26
0,3C_0-20_roots,File024,6/21/2023,12:59,UNK,4.997,6.25,0,,,0.824,33.409
0,3B_20-30_roots,File025,6/21/2023,13:05,UNK,5.125,6.25,0,,,0.711,32.771
0,7B_0-20_roots,File026,6/21/2023,13:10,UNK,5.267,6.25,0,,,0.905,36.233
0,3A_20-30_roots,File027,6/21/2023,13:15,UNK,1.309,6.25,0,,,0.783,31.172
0,3A_0-20_roots,File028,6/21/2023,13:20,UNK,5.014,6.25,0,,,0.702,35.776
0,7A_20-30_roots,File029,6/21/2023,13:25,UNK,5.182,6.25,0,,,0.566,35.753
0,7C_0-20_roots,File030,6/21/2023,13:30,UNK,5.056,6.25,0,,,0.907,37.817
0,7A_0-20_roots,File031,6/21/2023,13:35,UNK,5.2,6.25,0,,,0.827,34.828
0,check5,File032,6/21/2023,13:40,UNK,0.646,6.25,0,,,10.145,72.19
0,check6,File033,6/21/2023,14:02,UNK,0.669,6.25,0,,,10.299,71.713
0,6C_20-30_roots,File034,6/21/2023,14:07,UNK,4.758,6.25,0,,,0.543,31.119
0,4A_0-20_roots,File035,6/21/2023,14:12,UNK,5.219,6.25,0,,,0.881,37.04
0,4B_20-30_roots,File036,6/21/2023,14:17,UNK,5.179,6.25,0,,,0.761,33.397
0,6A_20-30_roots,File037,6/21/2023,14:22,UNK,2.011,6.25,0,,,0.686,32.022
0,4C_20-30_roots,File038,6/21/2023,14:27,UNK,3.282,6.25,0,,,0.745,31.157
0,8B_20-30_roots,File039,6/21/2023,14:32,UNK,5.141,6.25,0,,,0.693,38.515
0,1A_0-20_roots,File040,6/21/2023,14:37,UNK,5.118,6.25,0,,,0.629,36.117
0,8A_20-30_roots,File041,6/21/2023,14:42,UNK,0.062,6.25,0,,,5.532,60.949
0,1B_0-20_roots,File042,6/21/2023,14:47,UNK,5.166,6.25,0,,,0.684,36.304
0,4A_20-30_roots,File043,6/21/2023,14:53,UNK,0.137,6.25,0,,,2.61,41.023
0,8B_0-20_roots,File044,6/21/2023,14:58,UNK,4.937,6.25,0,,,0.784,35.219
0,6B_20-30_roots,File045,6/21/2023,15:03,UNK,0.082,6.25,0,,,4.193,47.664
0,check7,File046,6/21/2023,15:08,UNK,0.634,6.25,0,,,10.222,72.526
