Slice,Count,Total Area,Average Size,%Area,Mean
1-AVBA005.jpg,15,12.253,0.817,2.062,255
1-CLPU013.jpg,5,3.541,0.708,0.596,255
1-DAND034.jpg,5,11.371,2.274,1.913,255
1-LUBI007.jpg,40,14.248,0.356,2.398,255
1-PLER029.jpg,5,2.436,0.487,0.41,255
1-POSE003.jpg,10,6.601,0.66,1.111,255
1-SIBE001.jpg,16,48.006,3,8.079,255
1-SIBE002.jpg,17,42.28,2.487,7.115,255
1-STPU016.jpg,9,20.034,2.226,3.371,255
1-UNK1023.jpg,6,2.368,0.395,0.399,255
3-AVFA024.jpg,16,60.296,3.769,10.147,255
3-BRDI008.jpg,12,22.386,1.865,3.767,255
3-ERCI021.jpg,5,8.094,1.619,1.362,255
4-AVFA026.jpg,14,59.767,4.269,10.058,255
4-BRDI004.jpg,10,19.095,1.91,3.213,255
4-BRHO012.jpg,5,3.576,0.715,0.602,255
4-ERCI032.jpg,7,30.81,4.401,5.185,255
4-LASE025.jpg,5,51.13,10.226,8.604,255
6-AVFA030.jpg,12,57.93,4.827,9.749,255
6-BRDI020.jpg,8,18.035,2.254,3.035,255
7-BRHO011.jpg,5,2.24,0.448,0.377,255
7-CLPU027.jpg,7,4.673,0.668,0.786,255
7-ERCI035.jpg,7,15.411,2.202,2.593,255
8-AVBA014.jpg,18,18.302,1.017,3.08,255
8-AVFA028.jpg,14,48.664,3.476,8.189,255
8-BRDI006.jpg,10,16.169,1.617,2.721,255
8-BRHO017.jpg,7,2.917,0.417,0.491,255
8-CLPU015.jpg,8,5.27,0.659,0.887,255
8-ERCI019.jpg,12,12.792,1.066,2.153,255
8-STPU018.jpg,11,25.503,2.318,4.292,255
