collection_date,plot,treatment,depth,collected_mass,rock_mass
4/24/2024,1,a,20,175.04,25.39
4/24/2024,1,a,30,239.96,50.78
4/24/2024,1,b,20,265.99,27.38
4/24/2024,1,b,30,301.05,34.58
4/24/2024,3,a,20,179.2,29.67
4/24/2024,3,a,30,314.6,34.92
4/24/2024,3,b,20,126.4,18.15
4/24/2024,3,b,30,235.35,42.85
4/24/2024,3,c,20,220.33,38.05
4/24/2024,3,c,30,162.63,17.56
4/24/2024,4,a,20,287.16,60.79
4/24/2024,4,a,30,265.34,66.07
4/24/2024,4,b,20,126.49,19.7
4/24/2024,4,b,30,160.6,16.47
4/24/2024,4,c,20,195.85,21.64
4/24/2024,4,c,30,239.27,41.66
4/24/2024,6,a,20,232.27,31.04
4/24/2024,6,a,30,254.3,35.16
4/24/2024,6,b,20,318.16,52.6
4/24/2024,6,b,30,136.79,8.95
4/24/2024,6,c,20,226.58,16.35
4/24/2024,6,c,30,204.07,15.54
4/24/2024,7,a,20,246.21,26.34
4/24/2024,7,a,30,232.77,30.11
4/24/2024,7,b,20,274.37,56.2
4/24/2024,7,b,30,284.75,21.46
4/24/2024,7,c,20,235.05,23.24
4/24/2024,7,c,30,292.54,39.9
4/24/2024,8,a,20,283.61,59.73
4/24/2024,8,a,30,158.83,39.21
4/24/2024,8,b,20,303.29,40.97
4/24/2024,8,b,30,245.91,39.98
4/24/2024,8,c,20,259.53,26.42
4/24/2024,8,c,30,239.69,55.6
