collection_date,plot,treatment,depth,tray,tray_wet,tray_dry
4/24/2024,1,a,20,1.28,5.58,5.177
4/24/2024,1,a,30,1,6.72,6.1143
4/24/2024,1,b,20,1.01,6.71,6.2228
4/24/2024,1,b,30,1.31,7.06,6.34
4/24/2024,3,a,20,1.07,6.75,6.3301
4/24/2024,3,a,30,1.32,7.96,7.2137
4/24/2024,3,b,20,1.01,6.84,6.447
4/24/2024,3,b,30,1.01,6.5,5.9798
4/24/2024,3,c,20,1.3,7.1,6.5677
4/24/2024,3,c,30,1.03,6.31,5.7442
4/24/2024,4,a,20,1,6.42,5.9261
4/24/2024,4,a,30,1.04,6.71,5.9274
4/24/2024,4,b,20,1.03,6.8,6.3482
4/24/2024,4,b,30,1.3,7.8,7.1407
4/24/2024,4,c,20,1.29,7.1,6.6852
4/24/2024,4,c,30,1.31,7.37,6.6833
4/24/2024,6,a,20,1.04,6.85,6.4227
4/24/2024,6,a,30,1.02,7.17,6.565
4/24/2024,6,b,20,1.3,7.68,7.1194
4/24/2024,6,b,30,1.3,7.48,6.8016
4/24/2024,6,c,20,2.35,8.78,8.2603
4/24/2024,6,c,30,1.32,7,6.4909
4/24/2024,7,a,20,1.04,6.89,6.3855
4/24/2024,7,a,30,1.3,7.11,6.4405
4/24/2024,7,b,20,1.29,7.3,6.7205
4/24/2024,7,b,30,1.3,7.18,6.4878
4/24/2024,7,c,20,2.27,8.15,7.6581
4/24/2024,7,c,30,1.06,6.71,6.0923
4/24/2024,8,a,20,1.09,6.65,6.057
4/24/2024,8,a,30,1.01,6.39,5.8701
4/24/2024,8,b,20,1.29,7.2,6.6394
4/24/2024,8,b,30,1.33,7.49,6.8837
4/24/2024,8,c,20,1.3,7.26,6.7777
4/24/2024,8,c,30,1.34,7.07,6.5307
