,sample,file,date,time,type,mass,,,,,nitrogen,carbon
0,bypass,File001,6/20/2023,9:06,By-Pass,,,,,,0,0
0,blank,File002,6/20/2023,9:11,Blank,,,,,,0,0
0,low,File003,6/20/2023,9:16,STD,0.151,6.25,0,,,10.36,71.09
0,medium,File004,6/20/2023,9:21,STD,0.521,6.25,0,,,10.36,71.09
0,high,File005,6/20/2023,9:27,STD,1.514,6.25,0,,,10.36,71.09
0,check1,File006,6/20/2023,9:32,UNK,0.378,6.25,0,,,10.034,69.017
0,check2,File007,6/20/2023,9:37,UNK,0.832,6.25,0,,,10.232,71.032
0,check3,File008,6/20/2023,9:42,UNK,1.334,6.25,0,,,10.316,71.144
0,4-brho,File009,6/20/2023,9:47,UNK,0.36,6.25,0,,,2.424,42.394
0,3-avfa,File010,6/20/2023,9:52,UNK,5.044,6.25,0,,,1.504,40.738
0,8-avfa,File011,6/20/2023,9:57,UNK,5,6.25,0,,,1.334,39.424
0,3-brdi,File012,6/20/2023,10:02,UNK,5.158,6.25,0,,,1.14,33.774
0,1-stpu,File013,6/20/2023,10:07,UNK,5.299,6.25,0,,,1.266,39.856
0,4-avfa,File014,6/20/2023,10:12,UNK,5.019,6.25,0,,,2.077,39.819
0,1-sibe,File015,6/20/2023,10:18,UNK,5.185,6.25,0,,,1.41,48.481
0,7-avfa,File016,6/20/2023,10:23,UNK,5.11,6.25,0,,,2.156,42.376
0,1-avba,File017,6/20/2023,10:28,UNK,5.01,6.25,0,,,1.596,41.748
0,7-clpu,File018,6/20/2023,10:33,UNK,4.954,6.25,0,,,1.761,41.894
0,check4,File019,6/20/2023,10:38,UNK,0.559,6.25,0,,,10.331,71.581
0,8-stpu,File020,6/20/2023,10:43,UNK,5.084,6.25,0,,,1.335,40.589
0,6-brdi,File021,6/20/2023,10:48,UNK,4.95,6.25,0,,,1.044,43.502
0,4-brdi,File022,6/20/2023,10:53,UNK,5.09,6.25,0,,,1.497,44.034
0,1-pose,File023,6/20/2023,10:58,UNK,5.123,6.25,0,,,0.311,42.77
0,6-clpu,File024,6/20/2023,11:03,UNK,1.508,6.25,0,,,1.844,40.756
0,1-unk1,File025,6/20/2023,11:09,UNK,0.098,6.25,0,,,3.762,43.985
0,6-brho,File026,6/20/2023,11:14,UNK,0.328,6.25,0,,,1.521,39.431
0,7-erci,File027,6/20/2023,11:19,UNK,4.957,6.25,0,,,1.683,43.35
0,1-clpu,File028,6/20/2023,11:24,UNK,2.204,6.25,0,,,1.393,39.66
0,8-clpu,File029,6/20/2023,11:29,UNK,5.215,6.25,0,,,2.056,42.401
0,1-dand,File030,6/20/2023,11:34,UNK,5.273,6.25,0,,,1.4,42.017
0,1-lubi,File031,6/20/2023,11:39,UNK,5.036,6.25,0,,,3.406,43.664
0,check5,File032,6/20/2023,11:44,UNK,0.793,6.25,0,,,10.286,71.161
0,check6,File033,6/20/2023,11:59,UNK,0.912,6.25,0,,,10.404,71.345
0,8-brho,File034,6/20/2023,12:04,UNK,0.045,6.25,0,,,0,43.41
0,3-erci,File035,6/20/2023,12:09,UNK,5.181,6.25,0,,,1.56,42.64
0,8-erci,File036,6/20/2023,12:14,UNK,5.287,6.25,0,,,1.149,42.397
0,1-pler,File037,6/20/2023,12:19,UNK,0.149,6.25,0,,,2.213,44.555
0,7-brdi,File038,6/20/2023,12:24,UNK,4.981,6.25,0,,,1.339,43.018
0,6-avfa,File039,6/20/2023,12:30,UNK,5.009,6.25,0,,,1.523,39.576
0,7-brho,File040,6/20/2023,12:35,UNK,0.64,6.25,0,,,1.885,41.689
0,8-brdi,File041,6/20/2023,12:40,UNK,5.188,6.25,0,,,0.96,33.928
0,4-erci,File042,6/20/2023,12:45,UNK,5.254,6.25,0,,,2.038,43.004
0,8-avba,File043,6/20/2023,12:50,UNK,5.139,6.25,0,,,1.743,40.94
0,4-lase,File044,6/20/2023,12:55,UNK,5.184,6.25,0,,,2.376,40.327
0,6-erci,File045,6/20/2023,13:00,UNK,5.295,6.25,0,,,1.277,42.869
0,check7,File046,6/20/2023,13:05,UNK,0.808,6.25,0,,,10.358,72.31
