species,plot,leaf_dry_mass
erci,7,0.0609
clpu,7,0.0229
brdi,6,0.0694
brdi,4,0.0816
pose,1,0.0527
avfa,8,0.3088
brho,4,0.0124
avba,1,0.0534
clpu,1,0.0236
dand,1,0.0451
lubi,1,0.0793
brdi,8,0.0381
pler,1,0.0129
avfa,4,0.3378
erci,8,0.0471
brho,6,0.0093
erci,3,0.0321
clpu,8,0.0296
brdi,3,0.0888
avba,8,0.079
unk1,1,0.0106
sibe,1,0.2962
avfa,6,0.3344
brho,7,0.0083
stpu,8,0.2308
erci,6,0.0436
avfa,7,0.1393
lase,4,0.1376
brho,8,0.0101
avfa,3,0.3316
stpu,1,0.1715
brdi,7,0.0442
clpu,6,0.0344
erci,4,0.1252
