image, root_name, root, length, vector_length, surface, volume, direction, diameter, root_order, root_ontology, parent_name, parent, insertion_position, insertion_angle, n_child, child_density, first_child, insertion_first_child, last_child, insertion_last_child
2_A_3_stitch.rsml, root_5, eaeaf281-3761-451c-9fcb-014c744faa42, 1.417935, 0.82525533, 4.1843915, 0.9755141, 124.67327341094031, 0.9475612, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
2_A_3_stitch.rsml, root_4, cfac9b71-1102-4c4b-a91c-e612b4626f76, 3.2733674, 2.8551278, 0.8217579, 0.026367653, 162.50746707282514, 0.09675293, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
2_A_3_stitch.rsml, root_2, f158d559-0545-4a9f-8493-19a394f436a9, 1.0999031, 1.0919837, 0.042485185, 1.4197385E-4, 163.74011131233735, 0.01208071, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
2_A_3_stitch.rsml, root_1, 9df49c55-3282-4422-80be-c43f8b927c5b, 4.556095, 3.1634579, 1.2395378, 0.050361246, 91.41247879464764, 0.06342831, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
2_A_3_stitch.rsml, root_0, 2b036da4-6f57-49cc-8a48-3ae1512f6bdf, 2.365628, 2.3308787, 0.25075844, 0.0028690796, 228.3724155789838, 0.039950807, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
7_B_1_stitch.rsml, root_0, 686f4a6b-8e9f-4dcf-b7ba-f77f9660c2aa, 3.760361, 3.6683216, 4.4144874, 0.41580924, 230.48284840986935, 0.36742142, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
3_C_2_stitch.rsml, root_12, 3f6d7b5c-93cf-405a-b129-544099b30668, 0.95501745, 0.95501745, 0.96250623, 0.077250116, 192.41547208972028, 0.32074675, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
3_C_2_stitch.rsml, root_11, 7b0beddd-1973-4313-879b-6cf0eb16116f, 1.000423, 0.99814874, 0.31794265, 0.01259631, 330.7927824098608, 0.11313001, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
3_C_2_stitch.rsml, root_11, cffc46c2-8bad-4839-8bf6-a2f7af4a9f66, 2.5280523, 2.439148, 1.4545982, 0.08473075, 298.1200534207279, 0.17412105, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
3_C_2_stitch.rsml, root_10, eb02a941-0923-4cb8-b6e9-c147cd8dfc0e, 1.6137928, 1.6064949, 0.61910224, 0.031097325, 295.49567617555556, 0.15486424, 0, Root, -1, -1, -0.009302326, -57.29577951308232, 0, 0.0, null, null, null, null
